epoch  loss  rmse_e(eV/atom)  rmse_f(eV/A)  rmse_v(eV/atom)  rmse_stress(GPa)  gnorm
1 2.689166e-01 0.158369 0.518330 0.000000 0.0000 23.64
2 2.969550e-02 0.143551 0.171725 0.000000 0.0000 1.90
3 1.813792e-02 0.080079 0.134439 0.000000 0.0000 0.65
4 1.774460e-02 0.024554 0.133186 0.000000 0.0000 1.01
5 1.190761e-02 0.049086 0.109012 0.000000 0.0000 0.73
6 9.389866e-03 0.041733 0.096811 0.000000 0.0000 0.40
7 7.771272e-03 0.049535 0.088016 0.000000 0.0000 0.32
8 6.673154e-03 0.013713 0.081678 0.000000 0.0000 0.27
9 6.108639e-03 0.006036 0.078155 0.000000 0.0000 0.25
10 5.691502e-03 0.008383 0.075437 0.000000 0.0000 0.42
11 5.878613e-03 0.030164 0.076613 0.000000 0.0000 0.45
12 5.381291e-03 0.012662 0.073346 0.000000 0.0000 0.26
13 5.382773e-03 0.011425 0.073358 0.000000 0.0000 0.30
14 4.983980e-03 0.008169 0.070593 0.000000 0.0000 0.18
15 4.800449e-03 0.010796 0.069277 0.000000 0.0000 0.13
16 4.674429e-03 0.006498 0.068367 0.000000 0.0000 0.11
17 4.543845e-03 0.009585 0.067401 0.000000 0.0000 0.12
18 4.501729e-03 0.011880 0.067084 0.000000 0.0000 0.20
19 4.384342e-03 0.017622 0.066191 0.000000 0.0000 0.12
20 4.443414e-03 0.020258 0.066628 0.000000 0.0000 0.30
21 4.260720e-03 0.011707 0.065264 0.000000 0.0000 0.21
22 4.171802e-03 0.019707 0.064559 0.000000 0.0000 0.31
23 4.279914e-03 0.012840 0.065408 0.000000 0.0000 0.32
24 4.029924e-03 0.009554 0.063474 0.000000 0.0000 0.14
25 3.862275e-03 0.004602 0.062146 0.000000 0.0000 0.13
26 3.762381e-03 0.007681 0.061333 0.000000 0.0000 0.14
27 3.719839e-03 0.013815 0.060975 0.000000 0.0000 0.24
28 3.686213e-03 0.016588 0.060692 0.000000 0.0000 0.15
29 3.708816e-03 0.014381 0.060883 0.000000 0.0000 0.22
30 3.917440e-03 0.022326 0.062550 0.000000 0.0000 0.38
31 3.580374e-03 0.020466 0.059801 0.000000 0.0000 0.24
32 3.503330e-03 0.024805 0.059137 0.000000 0.0000 0.21
33 3.864996e-03 0.024533 0.062121 0.000000 0.0000 0.36
34 3.664813e-03 0.020412 0.060503 0.000000 0.0000 0.32
35 3.587962e-03 0.019765 0.059867 0.000000 0.0000 0.38
36 3.820482e-03 0.011980 0.061798 0.000000 0.0000 0.52
37 3.821182e-03 0.018679 0.061787 0.000000 0.0000 0.31
38 3.575991e-03 0.020998 0.059763 0.000000 0.0000 0.23
39 3.316192e-03 0.034838 0.057481 0.000000 0.0000 0.20
40 3.424389e-03 0.026228 0.058459 0.000000 0.0000 0.52
41 3.382150e-03 0.036541 0.058041 0.000000 0.0000 0.34
42 3.419335e-03 0.027025 0.058413 0.000000 0.0000 0.42
43 3.721708e-03 0.036295 0.060898 0.000000 0.0000 0.47
44 4.813500e-03 0.024519 0.069336 0.000000 0.0000 0.63
45 3.708587e-03 0.040388 0.060764 0.000000 0.0000 0.39
46 3.464708e-03 0.055358 0.058601 0.000000 0.0000 0.25
47 3.071484e-03 0.009487 0.055413 0.000000 0.0000 0.22
48 3.124750e-03 0.031665 0.055810 0.000000 0.0000 0.19
49 3.045670e-03 0.012215 0.055174 0.000000 0.0000 0.17
50 3.004146e-03 0.023874 0.054758 0.000000 0.0000 0.21
51 2.876542e-03 0.013301 0.053617 0.000000 0.0000 0.11
52 2.896587e-03 0.028897 0.053742 0.000000 0.0000 0.17
53 2.928415e-03 0.026639 0.054049 0.000000 0.0000 0.25
54 2.910497e-03 0.024670 0.053893 0.000000 0.0000 0.22
55 3.009056e-03 0.025805 0.054794 0.000000 0.0000 0.21
56 2.857628e-03 0.021084 0.053415 0.000000 0.0000 0.17
57 2.774835e-03 0.041740 0.052511 0.000000 0.0000 0.25
58 2.792339e-03 0.034954 0.052727 0.000000 0.0000 0.14
59 2.635061e-03 0.016493 0.051306 0.000000 0.0000 0.12
60 2.546756e-03 0.018650 0.050431 0.000000 0.0000 0.06
61 2.489383e-03 0.007207 0.049889 0.000000 0.0000 0.06
62 2.448961e-03 0.010202 0.049476 0.000000 0.0000 0.10
63 2.490739e-03 0.008617 0.049900 0.000000 0.0000 0.14
64 2.711549e-03 0.019460 0.052036 0.000000 0.0000 0.23
65 2.636634e-03 0.009148 0.051340 0.000000 0.0000 0.22
66 2.648015e-03 0.020730 0.051417 0.000000 0.0000 0.12
67 3.125333e-03 0.019312 0.055871 0.000000 0.0000 0.34
68 2.655443e-03 0.010318 0.051521 0.000000 0.0000 0.11
69 2.444170e-03 0.029708 0.049349 0.000000 0.0000 0.14
70 2.435394e-03 0.011211 0.049337 0.000000 0.0000 0.14
71 2.397726e-03 0.014748 0.048944 0.000000 0.0000 0.12
72 2.336285e-03 0.010945 0.048323 0.000000 0.0000 0.08
73 2.307800e-03 0.021151 0.047993 0.000000 0.0000 0.09
74 2.280740e-03 0.020011 0.047715 0.000000 0.0000 0.23
75 2.446132e-03 0.020727 0.049415 0.000000 0.0000 0.20
76 2.356927e-03 0.016289 0.048521 0.000000 0.0000 0.24
77 2.233736e-03 0.013052 0.047244 0.000000 0.0000 0.09
78 2.187958e-03 0.016874 0.046745 0.000000 0.0000 0.07
79 2.234437e-03 0.016251 0.047242 0.000000 0.0000 0.12
80 2.193474e-03 0.010697 0.046822 0.000000 0.0000 0.05
81 2.199008e-03 0.027530 0.046813 0.000000 0.0000 0.07
82 2.361022e-03 0.011994 0.048576 0.000000 0.0000 0.11
83 2.306452e-03 0.028014 0.047944 0.000000 0.0000 0.12
84 2.136250e-03 0.019586 0.046178 0.000000 0.0000 0.04
85 2.076492e-03 0.015066 0.045544 0.000000 0.0000 0.05
86 2.093308e-03 0.012963 0.045734 0.000000 0.0000 0.05
87 2.074377e-03 0.024000 0.045482 0.000000 0.0000 0.05
88 2.039295e-03 0.011539 0.045144 0.000000 0.0000 0.09
89 2.834555e-03 0.022123 0.053195 0.000000 0.0000 0.50
90 4.796637e-03 0.053152 0.069053 0.000000 0.0000 0.48
91 3.270709e-03 0.039546 0.057053 0.000000 0.0000 0.23
92 2.806881e-03 0.023908 0.052926 0.000000 0.0000 0.18
93 2.358332e-03 0.008499 0.048555 0.000000 0.0000 0.11
94 2.184301e-03 0.010958 0.046724 0.000000 0.0000 0.10
95 2.224112e-03 0.014688 0.047138 0.000000 0.0000 0.08
96 2.137993e-03 0.020382 0.046193 0.000000 0.0000 0.12
97 2.096510e-03 0.020633 0.045741 0.000000 0.0000 0.07
98 2.079692e-03 0.010468 0.045592 0.000000 0.0000 0.10
99 1.964407e-03 0.009678 0.044311 0.000000 0.0000 0.07
100 1.918326e-03 0.010812 0.043785 0.000000 0.0000 0.04
101 1.946816e-03 0.013960 0.044101 0.000000 0.0000 0.06
102 1.927114e-03 0.017551 0.043864 0.000000 0.0000 0.07
103 1.951790e-03 0.016574 0.044148 0.000000 0.0000 0.11
104 1.942002e-03 0.010137 0.044056 0.000000 0.0000 0.11
105 1.962569e-03 0.013476 0.044280 0.000000 0.0000 0.15
106 1.911528e-03 0.012422 0.043703 0.000000 0.0000 0.13
107 1.946561e-03 0.009507 0.044110 0.000000 0.0000 0.09
108 1.883509e-03 0.005225 0.043396 0.000000 0.0000 0.17
109 1.886635e-03 0.006219 0.043431 0.000000 0.0000 0.13
110 1.810825e-03 0.004573 0.042551 0.000000 0.0000 0.08
111 1.900834e-03 0.004266 0.043596 0.000000 0.0000 0.10
112 1.807322e-03 0.008207 0.042505 0.000000 0.0000 0.07
113 1.816602e-03 0.006549 0.042617 0.000000 0.0000 0.12
114 1.810763e-03 0.015984 0.042523 0.000000 0.0000 0.08
115 1.775245e-03 0.005452 0.042130 0.000000 0.0000 0.13
116 2.191672e-03 0.009673 0.046805 0.000000 0.0000 0.21
117 1.876536e-03 0.005468 0.043316 0.000000 0.0000 0.10
118 1.804908e-03 0.007370 0.042478 0.000000 0.0000 0.07
119 1.798750e-03 0.013890 0.042389 0.000000 0.0000 0.08
120 1.811999e-03 0.008874 0.042558 0.000000 0.0000 0.10
121 1.794510e-03 0.012383 0.042344 0.000000 0.0000 0.11
122 1.750499e-03 0.006866 0.041833 0.000000 0.0000 0.08
123 1.736557e-03 0.006612 0.041667 0.000000 0.0000 0.07
124 1.717099e-03 0.005823 0.041434 0.000000 0.0000 0.08
125 1.739792e-03 0.008865 0.041701 0.000000 0.0000 0.09
126 1.767801e-03 0.013573 0.042023 0.000000 0.0000 0.08
127 1.700472e-03 0.014297 0.041212 0.000000 0.0000 0.03
128 1.761057e-03 0.014057 0.041941 0.000000 0.0000 0.09
129 1.908020e-03 0.018833 0.043640 0.000000 0.0000 0.12
130 2.125496e-03 0.016467 0.046074 0.000000 0.0000 0.32
131 1.942010e-03 0.015485 0.044041 0.000000 0.0000 0.18
132 1.881585e-03 0.006462 0.043372 0.000000 0.0000 0.10
133 1.969873e-03 0.013560 0.044363 0.000000 0.0000 0.13
134 1.837232e-03 0.011830 0.042847 0.000000 0.0000 0.12
135 1.920584e-03 0.019095 0.043783 0.000000 0.0000 0.13
136 2.014834e-03 0.007239 0.044881 0.000000 0.0000 0.12
137 1.903869e-03 0.014487 0.043609 0.000000 0.0000 0.14
138 1.785678e-03 0.021058 0.042205 0.000000 0.0000 0.08
139 1.972478e-03 0.028439 0.044321 0.000000 0.0000 0.15
140 1.830420e-03 0.015769 0.042754 0.000000 0.0000 0.18
141 1.727990e-03 0.014110 0.041545 0.000000 0.0000 0.13
142 2.140320e-03 0.009771 0.046253 0.000000 0.0000 0.21
143 2.463223e-03 0.028466 0.049549 0.000000 0.0000 0.34
